Position,Group_0,Group_1
1,0.0,1.3513513513513513
2,0.0,1.3513513513513513
3,0.0,1.3513513513513513
4,0.0,1.3513513513513513
5,0.7692307692307693,1.0810810810810811
6,0.641025641025641,1.1261261261261262
7,0.5494505494505494,1.1583011583011582
8,0.9615384615384615,1.0135135135135136
9,0.8547008547008547,1.0510510510510511
10,0.7692307692307693,1.0810810810810811
11,0.6993006993006993,1.1056511056511058
12,0.9615384615384615,1.0135135135135136
13,0.8875739644970414,1.0395010395010396
14,0.8241758241758241,1.0617760617760619
15,0.7692307692307693,1.0810810810810811
16,0.9615384615384615,1.0135135135135136
17,0.9049773755656109,1.0333863275039745
18,0.8547008547008547,1.0510510510510511
19,1.0121457489878543,0.995732574679943
20,0.9615384615384615,1.0135135135135136
21,0.9157509157509157,1.0296010296010296
22,0.8741258741258741,1.0442260442260443
23,0.8361204013377926,1.0575793184488838
24,0.9615384615384615,1.0135135135135136
25,0.923076923076923,1.027027027027027
26,0.8875739644970414,1.0395010395010396
27,0.8547008547008547,1.0510510510510511
28,0.9615384615384615,1.0135135135135136
29,0.9283819628647215,1.0251630941286114
30,0.8974358974358975,1.0360360360360361
31,0.8684863523573201,1.046207497820401
32,0.9615384615384615,1.0135135135135136
33,0.9324009324009324,1.0237510237510237
34,0.9049773755656109,1.0333863275039745
35,0.8791208791208791,1.0424710424710426
36,0.9615384615384615,1.0135135135135136
37,0.9355509355509356,1.0226442658875092
38,0.9109311740890688,1.031294452347084
39,0.8875739644970414,1.0395010395010396
40,0.9615384615384615,1.0135135135135136
41,0.9380863039399624,1.0217534607778511
42,0.9157509157509157,1.0296010296010296
43,0.8944543828264758,1.03708359522313
44,0.8741258741258741,1.0442260442260443
45,0.9401709401709402,1.021021021021021
46,0.9197324414715718,1.028202115158637
47,0.9001636661211129,1.0350776308223117
48,0.8814102564102564,1.0416666666666667
49,0.9419152276295133,1.0204081632653061
50,1.0,1.0
