doc_id,Name,Gender,predictions,GT_score,Gender
73,John Parrott,male,0.92862,0.92862,male
167,Matthew Leonard,male,0.90802,0.90802,male
2049,Ashley Lin,female,0.83033,0.83033,female
3762,Maeluen Gruman,female,0.79686,0.79686,female
666,Dion O'Neale,male,0.87226,0.87226,male
4315,Rhandi L Orme,female,0.78721,0.78721,female
4631,Samantha Longacre,female,0.78209,0.78209,female
742,Dwayne Brown,male,0.86867,0.86867,male
6591,Huntley Kubitza,female,0.75541,0.75541,female
8122,Jill Poon,female,0.73624,0.73624,female
8108,Nora E Miller,female,0.73567,0.73567,female
763,Travis Trampe,male,0.86819,0.86819,male
9021,Lorelai Cole,female,0.72592,0.72592,female
10298,Carolyn Brown,female,0.71067,0.71067,female
1054,Ryan F Holtz,male,0.85854,0.85854,male
11090,Bryanna Krekeler,female,0.70029,0.70029,female
11089,Alexa A. Schafer,female,0.69991,0.69991,female
1232,Joe III Fernandez,male,0.85328,0.85328,male
11302,Lenka Kubkova,female,0.69857,0.69857,female
11797,Erin Rusch,female,0.69216,0.69216,female
11840,Stacey L Kesel,female,0.69059,0.69059,female
1562,Gregoire Vallee,male,0.84233,0.84233,male
11827,Julie Lindgren,female,0.69049,0.69049,female
12610,Dawn M Hammel,female,0.68069,0.68069,female
2025,Edgar L Diaz,male,0.83105,0.83105,male
12899,Theresa A Morgan,female,0.67543,0.67543,female
14765,Jennifer Podolak,female,0.64197,0.64197,female
2263,Samuel Cervantes,male,0.82684,0.82684,male
15140,Jessica A. Coppney,female,0.63393,0.63393,female
15911,Melissa M. Tanguay,female,0.61892,0.61892,female
16408,Danielle E. Klingaman,female,0.60687,0.60687,female
2282,Andrew R Piper,male,0.82574,0.82574,male
16441,Heidi K. Potvin,female,0.6053,0.6053,female
17445,Eileen Bitterly,female,0.57824,0.57824,female
2555,Erick Barquero,male,0.81952,0.81952,male
19028,Feng Ding,female,0.51317,0.51317,female
20908,Janelle Travers,female,0.35082,0.35082,female
2636,Andrew Mitchell,male,0.81771,0.81771,male
3023,Peter De Marchi,male,0.81044,0.81044,male
3995,Matthew M Thomas,male,0.79294,0.79294,male
4363,Salvatore Insana,male,0.78659,0.78659,male
4358,Bill Cottrell,male,0.78649,0.78649,male
5479,Scott Rolston,male,0.77105,0.77105,male
9676,Shane Buzza,male,0.71798,0.71798,male
9805,Harold W II Smith,male,0.71607,0.71607,male
10035,Stephen D Cadieux,male,0.7133,0.7133,male
10392,Mike Colmant,male,0.70851,0.70851,male
13314,Gabriel R. Stillman,male,0.66903,0.66903,male
15773,Scott Regan,male,0.62126,0.62126,male
19552,Ty Ragan,male,0.48334,0.48334,male
