Run,Kendall Tau,NDKL,Average Exposure
0,0.6604081632653062,0.10990118122409989,0.9754314368617156
1,0.8122448979591836,0.058083431539643085,0.909558127150691
2,0.5738775510204082,0.10242714321961253,0.9582158946376269
3,0.5951020408163266,0.11247667968998805,0.9796496041364063
4,0.6946938775510204,0.09462854384744582,1.0967265502398003
5,0.6048979591836735,0.07072567008710873,0.9905726178239873
6,0.6146938775510205,0.07893737004123152,1.063518402294494
7,0.8285714285714286,0.06551701161935336,0.952924875853672
8,0.8057142857142857,0.06705102098624194,0.9834540994618572
9,0.6261224489795918,0.05906006300990091,0.96835834993352
