Position,NDCG_1,NDCG_2,NDCG_3,NDCG_4,NDCG_5,NDCG_6,NDCG_7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9158642166111776,0.8390766262446172,0.815584323094079,0.8315540715771218,0.8294032584305852,0.8873970225673192,0.8172816398704648,0.8896801387962153
0.78064373540422,0.7593868772508718,0.7289972336526129,0.7158709616389333,0.7405200018761879,0.8171522095072378,0.729600794716055,0.7843008177530817
0.7027223410828601,0.6840213607499415,0.6582233596725646,0.647394156427975,0.6567483025138002,0.7557280802781382,0.6484331536828384,0.6921749141288908
0.6223155424355943,0.625785595945758,0.6342945654106614,0.6164909787031939,0.6262994299716697,0.7494083297694366,0.6265293513873238,0.6339156407543951
0.5637951046019051,0.5834967153369405,0.5901391076961795,0.5705169165548902,0.5758048372900211,0.6940241142313716,0.5853482820509542,0.5874835325958281
0.5189175718800884,0.5497145023263398,0.5523927640719297,0.5289235048548108,0.5352217979207035,0.651908614175535,0.5523764313762676,0.5725522237709005
0.4944343985352963,0.5205176667105622,0.5369170448854265,0.5151228556282744,0.5205082465332311,0.6185615169646415,0.5263352915683728,0.5384831618512906
0.4635134703659812,0.4964524694064801,0.5100899686205992,0.4868938109192767,0.4900394797100364,0.5860764956689635,0.4959146452229972,0.5094347999547627
0.4367376569368953,0.4753461778225755,0.4854854137474775,0.4627996966068137,0.4643185669759258,0.5579622358628332,0.469361546067897,0.49933309255418196
0.4134622017384149,0.456050749813942,0.4641252141715062,0.4401476139641233,0.4412857176978439,0.5339664662444866,0.4464406056238297,0.475635956757529
0.3982526702474984,0.4380390906220328,0.4509249373463407,0.4306238932195332,0.4329469881120958,0.5152656524645985,0.4268587308607526,0.4545017140857266
0.3802434898271116,0.4205510048831729,0.4344535945601404,0.412742319880363,0.4142557804996649,0.4940378347373229,0.4087095686777823,0.44681315626571744
0.3642156165987767,0.404666661364255,0.4195079087415018,0.3964647109359758,0.3976159525660662,0.4749982482444507,0.3922408793644155,0.42993776814752616
0.3535093899273251,0.3896388690715866,0.405098478040723,0.3898464679415966,0.3880634328084137,0.4579149716948395,0.3785751575102342,0.41458399218880493
0.340474199700308,0.3760966486277499,0.3912304611515181,0.3761653713417811,0.3744459918406517,0.4449630291805501,0.3645499106066656,0.40432944343630006
0.3285825631585196,0.3637912229253739,0.3784041927363776,0.3635598523869049,0.3620691468717684,0.4301499025739118,0.3518143541235177,0.3913389408258755
0.3202609187038305,0.3524279995719592,0.3666074116800739,0.3591546902958382,0.3503942764344264,0.416517785894818,0.3407629587056424,0.37944203075380534
0.3100911304406215,0.3418391234554482,0.355715498656193,0.3482170374199159,0.3396522398584299,0.403645820808222,0.3301006733373433,0.36841866065262246
0.300679846583853,0.3316909217261348,0.3455952184814447,0.3379955928254343,0.3297356391107359,0.3936579094967516,0.3202663738159614,0.3580748594745918
0.2918355887577687,0.3222868162840912,0.3362357805267397,0.3283549426967592,0.3205723495541227,0.3826411464981096,0.3114855902442405,0.3484295007346665
0.2844968996148638,0.3134981037326586,0.3272748081629754,0.3218844797250765,0.3120379132915339,0.3723393477760704,0.3028888032855393,0.3392343520341821
0.2767967340773259,0.3052977809290871,0.3187798713940358,0.3133881345040456,0.304082606675293,0.3627162960417565,0.2948659880611899,0.33059495216643714
0.2695031159547789,0.297619852920291,0.3108232240421462,0.3054314378911446,0.2965800196960982,0.3549679213427648,0.2872300999302665,0.3221435874800698
0.2635490157208673,0.2903622425901356,0.3033085809995497,0.2988232219446366,0.2894738229865115,0.3464059595339707,0.2800793073102871,0.3141423445548411
0.2571161176644199,0.2835458463674453,0.2961169935342547,0.2917481117875191,0.282712597603769,0.3380693385794012,0.2733440497883667,0.30656819989271666
