doc_id,Name,Gender,predictions,GT_score,Gender
331,victoria phillips,female,2.11,2.11,female
413,gloria moses,female,2.0,2.0,female
1493,francis gibbons,male,1.17,1.17,male
1509,sheldon smellie,male,1.16,1.16,male
436,patria barnes,female,1.96,1.96,female
1564,roberto hernandez-castro,male,1.13,1.13,male
1690,john intindola,male,1.06,1.06,male
604,johane kemp,female,1.79,1.79,female
1726,anthony sanmarco,male,1.04,1.04,male
1805,thurman jones,male,1.0,1.0,male
1828,joseph amato,male,0.99,0.99,male
621,ursula fontaine,female,1.78,1.78,female
2116,guignard lejean,male,0.85,0.85,male
2265,joey stroud,male,0.79,0.79,male
839,sussan cabrera,female,1.59,1.59,female
2419,orlando gonzalez,male,0.72,0.72,male
2445,mohan nihal,male,0.7,0.7,male
899,diane gay,female,1.55,1.55,female
2883,kerry francois,male,0.52,0.52,male
2896,haywood farrow,male,0.51,0.51,male
2950,justin poux,male,0.48,0.48,male
936,susan roberts,female,1.52,1.52,female
3009,carlis mccrea,male,0.46,0.46,male
3112,joshua edmond,male,0.41,0.41,male
1016,marilyn mejias,female,1.47,1.47,female
3094,daniel carvallo,male,0.41,0.41,male
3134,charlie simmons,male,0.4,0.4,male
1041,pamela goodwin,female,1.45,1.45,female
3204,nikenson nicolas,male,0.36,0.36,male
3222,jerod mcdade,male,0.36,0.36,male
3531,walter gillett,male,0.21,0.21,male
1085,sharhonda campbell,female,1.41,1.41,female
4446,don mixon,male,-0.36,-0.36,male
4736,kenyatti collins,male,-0.68,-0.68,male
1304,nancy brewer,female,1.28,1.28,female
4751,keith richmond,male,-0.69,-0.69,male
4756,darryl kelly,male,-0.7,-0.7,male
1342,ampella guy,female,1.25,1.25,female
2008,nicole magnus,female,0.9,0.9,female
2101,jennifer wiggs,female,0.86,0.86,female
2555,angelina kloman,female,0.67,0.67,female
2635,laurel femia,female,0.62,0.62,female
2755,forlisha rolle,female,0.57,0.57,female
2941,temisa brown,female,0.49,0.49,female
3115,justine woodward,female,0.4,0.4,female
3254,brenda gonzalez,female,0.34,0.34,female
3479,brittany ferry,female,0.24,0.24,female
3549,rebecca strowbridge,female,0.2,0.2,female
3717,tiffany miller,female,0.12,0.12,female
4457,ava ashley,female,-0.38,-0.38,female
