doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,male,26126,26126
11,11,Merlakia Jones,female,2353,2353
2,2,Purvis Short,male,14607,14607
12,12,Shekinna Stricklen,female,2245,2245
3,3,Bingo Smith,male,11775,11775
13,13,Buddy Hield,female,1732,1732
4,4,John Lucas,male,11098,11098
16,16,Teresa Weatherspoon,female,1264,1264
5,5,Jon McGlocklin,male,9169,9169
20,20,Maria Stepanova,female,867,867
6,6,Doug Collins,male,7427,7427
21,21,Alisa Burras,female,864,864
7,7,Taj Gibson,male,6333,6333
22,22,Deanna Jackson,female,830,830
8,8,Rick Robey,male,4541,4541
23,23,Delaney Rudd,female,816,816
9,9,C.J. McCollum,male,4128,4128
24,24,Nia Coffey,female,741,741
10,10,Michael Smith,male,3476,3476
25,25,Elena Tornikidou,female,657,657
14,14,Henry James,male,1359,1359
26,26,Kara Wolters,female,561,561
15,15,Don Henriksen,male,1297,1297
27,27,Shoni Schimmel,female,560,560
17,17,J.J. Anderson,male,1231,1231
28,28,Sonja Henning,female,490,490
18,18,Elmore Spencer,male,937,937
30,30,Amy Herrig,female,280,280
19,19,Juan Carlos,male,896,896
31,31,Tausha Mills,female,267,267
29,29,Eddie Mast,male,283,283
33,33,Carolyn Young,female,194,194
32,32,Ted Luckenbill,male,196,196
34,34,Kristy Wallace,female,190,190
35,35,Jay Murphy,male,160,160
37,37,Evanthia Maltsi,female,147,147
36,36,Robin Threatt-Elliott,male,155,155
38,38,Yolanda Moore,female,140,140
39,39,Josh Selby,male,83,83
43,43,Kelley Cain,female,34,34
40,40,McCoy Ingram,male,67,67
44,44,Sharnee Zoll,female,27,27
41,41,Alexis Prince,male,50,50
46,46,Kimberly Beck,female,17,17
42,42,James Augustine,male,42,42
47,47,Cliff Alexander,female,10,10
45,45,Endy Miyem,male,27,27
48,48,Rennia Davis,female,10,10
50,50,Myles Patrick,male,5,5
49,49,Caity Matter,female,9,9
