Run,Kendall Tau,NDKL,Average Exposure
0,0.4073469387755102,0.32798833314290216,1.5678771446461557
1,0.42857142857142855,0.26947003412009707,1.3081688718333786
2,0.3730612244897959,0.25947576102854075,1.2957329183606332
3,0.929795918367347,0.10278015841616533,1.0508510165438358
4,0.3159183673469388,0.21636642544010673,1.1276658065168894
5,0.2897959183673469,0.34980767980857097,1.582238624495167
6,0.41877551020408166,0.40406608337790606,1.6004789451782198
7,0.38448979591836735,0.23877793450386234,1.2658194651224508
8,0.9918367346938776,0.10696636160476672,1.0808323722111854
9,0.39918367346938777,0.4453695880835089,1.660666135669258
