q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints,BTN,NMSOR,GAPI
1,91,male,Sam Perkins,19,15.29,16360,,,
1,128,male,Dan Issel*,9,20.84,14659,,,
1,165,male,Rudy Tomjanovich,11,16.35,13383,,,
1,201,male,Jamal Mashburn,13,14.94,12466,,,
1,306,male,Gus Johnson*,10,16.15,9944,,,
1,445,male,Jim Chones,8,13.34,7664,,,
1,486,female,Tina Charles,12,21.02,7115,,,
1,526,male,Pat Cummings,12,12.92,6529,,,
1,742,male,Harrison Barnes,5,12.56,4605,,,
1,799,male,Bob Hansen,11,8.74,4125,,,
1,952,male,Darko Milicic,14,8.56,3294,,,
1,973,male,Michael Doleac,12,10.68,3207,,,
1,1075,female,Adrienne Goodson,7,16.0,2705,,,
1,1104,male,Jan Van,7,9.3,2596,,,
1,1193,male,Jon Leuer,8,13.26,2252,,,
1,1346,female,Aerial Powers,7,16.97,1744,,,
1,1399,male,Rod Foster,3,10.2,1562,,,
1,1460,female,Charlotte Smith,8,9.76,1412,,,
1,1594,male,Fabricio Oberto,6,8.68,1081,,,
1,1621,male,Dario Saric,1,12.8,1040,,,
1,1742,female,Kayla Alexander,8,13.76,818,,,
1,1781,female,Michelle Edwards,5,12.26,760,,,
1,1810,female,Isabelle Fijalkowski,2,19.7,715,,,
1,1950,female,Reshanda Gray,6,8.9,542,,,
1,2088,female,Tasha Humphrey,2,14.5,419,,,
1,2111,male,Gary Hill,4,4.3,397,,,
1,2113,male,Jeremy Tyler,5,8.84,395,,,
1,2132,female,Michelle Marciniak,3,12.33,381,,,
1,2154,male,Wallace Bryant,5,7.66,364,,,
1,2264,female,Avery Warley-Talbert,5,9.8,291,,,
1,2372,female,Kelly Faris,4,6.3,233,,,
1,2516,female,Kalani Brown,3,10.6,176,,,
1,2534,female,Sonja Tate,2,10.8,170,,,
1,2539,female,Kate Paye,3,5.63,168,,,
1,2558,female,Marta Xargay,2,7.25,163,,,
1,2711,male,Bob Martin,2,5.1,113,,,
1,2728,female,Alex Harden,2,7.05,106,,,
1,2802,female,Jocelyn Penn,2,45.85,90,,,
1,2915,female,Quianna Chaney,1,8.1,68,,,
1,2979,female,Porsha Phillips,1,8.7,55,,,
1,3105,female,Erin Alexander,1,6.3,39,,,
1,3119,male,Omar Cook,2,10.85,37,,,
1,3126,female,Heather Owen,1,4.4,36,,,
1,3242,male,Connie Rea,1,4.4,23,,,
1,3376,male,Jerry Grote,1,14.9,14,,,
1,3393,male,George McLeod,1,2.9,12,,,
1,3531,female,Julie Wojta,1,17.7,6,,,
1,3687,female,Cedric Hunter,1,0.0,0,,,
1,3712,male,Dexter Shouse,1,-6.8,0,,,
1,3685,female,E.C. Hill,1,2.6,0,,,
