doc_id,Name,Gender,predictions,GT_score,Gender
1,Suguru Osako,male,0.99756,0.99756,male
2,Miguel Angel Sr. Cifuentes Fetiva,male,0.91065,0.91065,male
8,Christine Brown,female,0.81211,0.81211,female
14,Catherine Gifford,female,0.77243,0.77243,female
3,Alex Leon,male,0.88387,0.88387,male
15,Rachel Griebel,female,0.7678,0.7678,female
19,Hilary A Freund,female,0.75369,0.75369,female
4,John R West,male,0.85036,0.85036,male
20,Jenna D. Chan,female,0.75326,0.75326,female
22,Katie Kirchner,female,0.7524,0.7524,female
24,Sue George,female,0.74012,0.74012,female
5,Moritz C. Braun,male,0.8331,0.8331,male
25,Karen S Rohrbaugh,female,0.73543,0.73543,female
26,Paige N Plumeau,female,0.73041,0.73041,female
6,Daniel M. Johns,male,0.83062,0.83062,male
28,Nadine C Singh,female,0.72472,0.72472,female
29,Christine E. Ohlhausen,female,0.72152,0.72152,female
7,Justin A. Renz,male,0.82885,0.82885,male
31,Lisa A Tucker,female,0.712,0.712,female
33,Corinne Cook,female,0.70106,0.70106,female
34,Karen Perzyk,female,0.68681,0.68681,female
9,Ignacio H Granda,male,0.795,0.795,male
35,Tricia L. Ruby,female,0.67562,0.67562,female
37,Josie Riebe,female,0.66759,0.66759,female
10,Patrick Fernald,male,0.78214,0.78214,male
38,Sylvia Reyes Garcia,female,0.65903,0.65903,female
41,Hongqin Tian,female,0.61022,0.61022,female
11,Steve Szakal,male,0.77827,0.77827,male
42,Jackie Dudas,female,0.57829,0.57829,female
43,Kristin L. Moccia,female,0.56361,0.56361,female
44,Rebecca J. Tener,female,0.54965,0.54965,female
12,David Hayes,male,0.77798,0.77798,male
45,CarolAnn Hynes,female,0.54864,0.54864,female
46,Janet Perkins-Howland,female,0.54281,0.54281,female
13,Alexander Egan,male,0.77363,0.77363,male
47,Lexie Devries,female,0.5277,0.5277,female
49,Gina M. Evans,female,0.47402,0.47402,female
16,Gerald Walton,male,0.76593,0.76593,male
17,Thomas G Kielpinski,male,0.76216,0.76216,male
18,Andres V Sanchez Hernandez,male,0.75513,0.75513,male
21,Gregory Hardy,male,0.7524,0.7524,male
23,James M. Wilson,male,0.74944,0.74944,male
27,Jay Hickle,male,0.72893,0.72893,male
30,Brian F. Merrigan,male,0.71234,0.71234,male
32,Rob Kriegshaber,male,0.71177,0.71177,male
36,Roni Kornitz,male,0.67008,0.67008,male
39,Gregg R Gohlke,male,0.6444,0.6444,male
40,Peter H. Witlen,male,0.61448,0.61448,male
48,Jan Wickbom,male,0.47555,0.47555,male
50,Robert J. Schurman,male,0.38356,0.38356,male
