doc_id,D,name,sex,Points,CareerPoints
1,1,Paul Pierce,male,26397,26397
2,2,Mark Jackson,male,13932,13932
6,6,Tracy Murray,female,6458,6458
9,9,Nikki McCray,female,2550,2550
3,3,Bill Cartwright,male,12713,12713
4,4,Kyle Korver,male,11713,11713
7,7,Greg Anthony,male,5971,5971
10,10,Joe Hassett,male,2079,2079
11,11,John Lambert,male,2049,2049
12,12,Latasha Byears,female,1935,1935
13,13,Greg Minor,male,1902,1902
14,14,Elaine Powell,female,1505,1505
15,15,Teresa Weatherspoon,female,1264,1264
16,16,Jack Kerris,male,1137,1137
17,17,Ron Reed,male,951,951
18,18,Alicia Thompson,female,759,759
19,19,Janice Braxton,female,733,733
20,20,Jay Williams,male,714,714
21,21,Andre Spencer,male,692,692
22,22,Phil Pressey,male,544,544
23,23,Suzie McConnell Serio,female,521,521
24,24,Shannon Bobbitt,female,377,377
25,25,Kate Starbird,female,373,373
26,26,Mark Radford,male,347,347
27,27,Laura Harper,female,338,338
28,28,Taurean Waller-Prince,male,335,335
29,29,Rebekah Gardner,female,295,295
30,30,Dalibor Bagaric,male,251,251
31,31,Kaila Charles,female,242,242
32,32,Paul Zipser,male,240,240
33,33,Yelena Leuchanka,female,207,207
34,34,Robin Threatt-Elliott,male,155,155
35,35,Marques Bragg,male,131,131
36,36,Adrienne Shuler,female,89,89
37,37,Mikiah Herbert Harrigan,male,79,79
38,38,Alex Poythress,male,64,64
39,39,Rachel Hollivay,female,48,48
40,40,Amanda Thompson,female,47,47
41,41,Justin Harper,male,45,45
42,42,James Augustine,male,42,42
43,43,Clifford Lett,male,38,38
44,44,Adut Bulgak,female,36,36
45,45,Kamiah Smalls,female,31,31
46,46,Gennifer Brandon,female,28,28
47,47,Erin Grant,female,25,25
48,48,Kimberly Beck,female,17,17
49,49,Shay Doron,male,10,10
50,50,Chandra Johnson,male,6,6
5,5,Terry Catledge,male,6520,6520
8,8,Travis Best,male,5957,5957
