Run,Kendall Tau,NDKL,Average Exposure
0,1.0,0.26750157715036876,0.7065469100079264
1,0.4726530612244898,0.20291883032276042,0.9567132804714673
2,1.0,0.28740495566679136,0.6682798265603952
3,1.0,0.212675906120649,0.7272117510290484
4,0.4073469387755102,0.2744697556320197,1.318019239368881
5,0.9624489795918367,0.18602177404773362,0.7233445950633305
6,0.3469387755102041,0.2197703044057671,1.2704994638426967
7,0.9820408163265306,0.19330325514681385,0.7377576527405729
8,0.5102040816326531,0.2069076968399291,1.1201774822678805
9,0.9510204081632653,0.14844537933844673,0.7492125520285551
