Position,NDCG_1,NDCG_2,NDCG_3,NDCG_4,NDCG_5,NDCG_6
1.0,0.8035741304238186,0.6979641693811075,0.7242401105293776,0.6458893844459291,0.7386158906464356,1.0
0.9765320908334292,0.7601366793954659,0.6729636492002172,0.7215817633592448,0.640880925537871,0.7280655339261006,0.9276959167727665
0.950858978223587,0.7397380874620605,0.6618967420160264,0.7165963182681598,0.6335697554346379,0.717207562137373,0.8917362534690415
0.9188734982467824,0.726363632380679,0.6519639096713911,0.7101212005452631,0.6289196872916984,0.7098190356229712,0.8697505777247244
0.8975642278401439,0.7068817463893551,0.6454237766418318,0.7051758534359028,0.6237165896782897,0.699713675952639,0.8539721040629213
0.8813663294855231,0.692057957118623,0.6406048292046287,0.7008407860804763,0.6132180446500264,0.690559094636846,0.8390011984971295
0.8670296459804461,0.678193632498644,0.6351175447292551,0.690570484630378,0.6050737708687932,0.6813792616270363,0.8275516867369124
0.8555417766591547,0.667188240312711,0.6301671419204813,0.6813636773653353,0.5983082289395474,0.6722127659725635,0.8182505173587428
0.8459757201058122,0.6582022383622327,0.6255492769761605,0.6736479793431415,0.5924696323293607,0.6645484128156693,0.8099345393855
0.8374811047853731,0.6505817724338244,0.6211012869664384,0.6668588611940522,0.5875912527518934,0.6576271706414272,0.7963479916227542
0.8279943862882249,0.6423789413658494,0.6170131430727951,0.6609886809405527,0.5819258192341527,0.6509940020797644,0.7894813238850191
0.8195921729951869,0.6337279133813296,0.6126569252257436,0.6553149389746449,0.5755860794932199,0.644975756925027,0.779199955886281
0.8099747949283153,0.6254465661327299,0.6079704830721525,0.6466750384627507,0.5696478356869633,0.6382364350989077,0.7734477385951443
0.7995739395164243,0.6178360412506834,0.602766889720355,0.6387838241151833,0.5641395636587406,0.6320699717837238,0.7682132147382564
0.7901726168683724,0.6103659964921907,0.5973458186066611,0.6314074282756971,0.5567678773337856,0.6265436883679397,0.7624505685590494
0.7813315978798764,0.6023338211774298,0.5921089948716305,0.6228346782211662,0.5501209717036224,0.6202750762695651,0.757197491897311
