doc_id,Name,Gender,score,BTN,NMSOR,GAPI
1,Geoffrey Kirui,male,1.0,,,
154,Jim Johnson,male,0.91108,,,
749,Hans Sitarz,male,0.86877,,,
1185,Jimmy Villette,male,0.85442,,,
1260,Michael Viola,male,0.85213,,,
2479,Mike Kelley,male,0.82244,,,
2764,Eric J Glinski,male,0.81599,,,
3031,Alan Honig,male,0.81078,,,
3477,Barbara Powers,female,0.80179,,,
3586,Juniper F. Hunter,male,0.80078,,,
4015,Jeffrey D. Saunderson,male,0.79323,,,
4991,Ianik Blanchet,male,0.77822,,,
5428,Nathaniel Dick,male,0.77215,,,
5834,Anneke Thompson,female,0.76588,,,
6223,Kara J Defeo,female,0.76039,,,
6795,John Riopelle,male,0.7536,,,
7749,Noreen Inman,female,0.74136,,,
8280,Brian G. Baxter,male,0.73452,,,
8440,Ed Thomas,male,0.73146,,,
9103,Corey R Long,female,0.72391,,,
9201,Vanessa Fernandez Vidueira,female,0.72343,,,
9503,Jessica L. Hewitt,female,0.71956,,,
10303,William Evans,male,0.71062,,,
10361,Karen R Keefe,female,0.70995,,,
10900,Trish Wood,female,0.7034,,,
10950,Mike Meyers,male,0.70182,,,
11197,Takeshi Kikuchi,male,0.69967,,,
11230,Melissa Terry,female,0.69953,,,
11669,Phil Clevenger,male,0.69412,,,
11698,Susanne M Sviergula,female,0.69255,,,
12699,Heidi E Laduca,female,0.67892,,,
12849,Linda L Bayne,female,0.67725,,,
12951,Susan C. Larsen,female,0.67495,,,
13434,Denise Hatcher,female,0.66673,,,
14132,Tracy Breen,female,0.65411,,,
14089,Alexia Desaulniers,female,0.65344,,,
15184,Gibson D Trinca,female,0.63413,,,
15292,Marta Slosarska,female,0.63217,,,
15277,Tian Wang,male,0.63135,,,
15672,Margaret A. McGrath,female,0.62318,,,
16158,Taryn D. Sleger,female,0.61338,,,
16146,Sarah M. Green,female,0.61299,,,
16177,David L Huff,male,0.6117,,,
16727,Armando Sr. Viana,male,0.59808,,,
17270,Eric P. Pawlowski,male,0.58321,,,
17362,Alessandra Ferazzini,female,0.58082,,,
17560,Dean Loizou,male,0.57322,,,
18237,Laura Shay,female,0.54941,,,
19198,Jennifer L. Tutak,female,0.50633,,,
20147,Eric M. Binder,male,0.43759,,,
