Run,Kendall Tau,NDKL,Average Exposure
0,0.9689795918367347,0.21886741429770432,0.7318124820442564
1,0.5722448979591837,0.13117835478918724,0.8429845695347353
2,1.0,0.28740495566679136,0.6682798265603952
3,0.6685714285714286,0.1424881612886905,0.8380883025322313
4,0.6620408163265306,0.13011486631254388,0.8996437840742522
5,0.9918367346938776,0.18866580204918415,0.7221056280284163
6,0.36653061224489797,0.23131134613395135,1.2833209791690166
7,0.673469387755102,0.12347753697781183,0.8466528703489248
8,0.35836734693877553,0.17077562392582937,1.1587057151663256
9,0.43020408163265306,0.12741345505655918,0.8657647964067431
