,doc_id,Name,Gender,predictions,GT_score,Gender.1
0,91,Sam Perkins,male,16360,16360,male
1,128,Dan Issel*,male,14659,14659,male
2,165,Rudy Tomjanovich,male,13383,13383,male
3,201,Jamal Mashburn,male,12466,12466,male
4,306,Gus Johnson*,male,9944,9944,male
5,445,Jim Chones,male,7664,7664,male
6,486,Tina Charles,female,7115,7115,female
7,526,Pat Cummings,male,6529,6529,male
8,742,Harrison Barnes,male,4605,4605,male
9,799,Bob Hansen,male,4125,4125,male
10,952,Darko Milicic,male,3294,3294,male
11,973,Michael Doleac,male,3207,3207,male
12,1075,Adrienne Goodson,female,2705,2705,female
13,1104,Jan Van,male,2596,2596,male
14,1193,Jon Leuer,male,2252,2252,male
15,1346,Aerial Powers,female,1744,1744,female
16,1399,Rod Foster,male,1562,1562,male
17,1460,Charlotte Smith,female,1412,1412,female
18,1594,Fabricio Oberto,male,1081,1081,male
19,1621,Dario Saric,male,1040,1040,male
20,1742,Kayla Alexander,female,818,818,female
21,1781,Michelle Edwards,female,760,760,female
22,1810,Isabelle Fijalkowski,female,715,715,female
23,1950,Reshanda Gray,female,542,542,female
24,2088,Tasha Humphrey,female,419,419,female
25,2111,Gary Hill,male,397,397,male
26,2113,Jeremy Tyler,male,395,395,male
27,2132,Michelle Marciniak,female,381,381,female
28,2154,Wallace Bryant,male,364,364,male
29,2264,Avery Warley-Talbert,female,291,291,female
30,2372,Kelly Faris,female,233,233,female
31,2516,Kalani Brown,female,176,176,female
32,2534,Sonja Tate,female,170,170,female
33,2539,Kate Paye,female,168,168,female
34,2558,Marta Xargay,female,163,163,female
35,2711,Bob Martin,male,113,113,male
36,2728,Alex Harden,female,106,106,female
37,2802,Jocelyn Penn,female,90,90,female
38,2915,Quianna Chaney,female,68,68,female
39,2979,Porsha Phillips,female,55,55,female
40,3105,Erin Alexander,female,39,39,female
41,3119,Omar Cook,male,37,37,male
42,3126,Heather Owen,female,36,36,female
43,3242,Connie Rea,male,23,23,male
44,3376,Jerry Grote,male,14,14,male
45,3393,George McLeod,male,12,12,male
46,3531,Julie Wojta,female,6,6,female
47,3685,E.C. Hill,female,0,0,female
48,3687,Cedric Hunter,female,0,0,female
49,3712,Dexter Shouse,male,0,0,male
