Run,Kendall Tau,NDKL,Average Exposure
0,0.2946938775510204,0.10303722099518071,0.9393973419456908
1,0.4922448979591837,0.14097454741200785,0.8042605106725665
2,0.7779591836734694,0.1186006168835476,0.7979405947644469
3,0.5330612244897959,0.094469086915074,0.8662679532070608
4,0.4416326530612245,0.25667844639736986,0.7055008280911113
5,0.8057142857142857,0.27145050746109156,0.6660863967378706
6,0.7665306122448979,0.18035685635679002,0.7250915678357105
7,0.9102040816326531,0.1259107329992313,0.8013891367533721
8,0.923265306122449,0.11961053321077658,0.8152417655982858
9,0.9053061224489796,0.19829326446999135,0.7232962599645959
