Run,Kendall Tau,NDKL,Average Exposure
0,0.6293877551020408,0.11423184080272891,0.9867043941963894
1,0.8710204081632653,0.08887823233302732,0.8193514062371046
2,0.9036734693877551,0.1748750573042064,0.7470958136937113
3,0.84,0.10613956729755238,0.8417578809878541
4,0.6195918367346939,0.1241713434706877,1.0036138885879056
5,0.8318367346938775,0.12808649284878695,0.7772834384113141
6,0.7289795918367347,0.09546130593322272,0.8852684104149223
7,0.8759183673469387,0.14147891678671598,0.7997965578135052
8,0.9085714285714286,0.06329999117450086,0.8882304241898537
9,0.8269387755102041,0.10800824605646389,0.7927265250558467
