Run,Kendall Tau,NDKL,Average Exposure
0,0.6751020408163265,0.10805984298235458,0.9733604685418888
1,0.8285714285714286,0.06144020045878572,0.8905499878186424
2,0.529795918367347,0.11222746750728058,0.9956156692783511
3,0.673469387755102,0.10111032473688625,0.955732157819461
4,0.7093877551020408,0.11091109943456158,1.120420531903153
5,0.7648979591836734,0.05944285015743441,0.9048233510667338
6,0.5853061224489796,0.08901062712642463,1.0951046705142373
7,0.6065306122448979,0.08500418013439578,1.0786183638244504
8,0.6277551020408163,0.13304566611903282,1.0164669554220955
9,0.4514285714285714,0.09552811315240761,1.1082499489645448
