Run,Kendall Tau,NDKL,Average Exposure
0,0.6261224489795918,0.11045037498260818,0.9783320386811708
1,0.46122448979591835,0.09420790584592409,1.1043124468731407
2,0.6163265306122448,0.09520565534243754,0.9276516165665111
3,0.5836734693877551,0.10629963272466603,0.9665720001274719
4,0.769795918367347,0.07868319589199076,1.0544558781464717
5,0.5689795918367347,0.10851607681512666,1.0849038685018666
6,0.5608163265306122,0.10558573043282037,1.1260700998879336
7,0.6359183673469387,0.08317255781823384,1.0696577173166584
8,0.5265306122448979,0.0949634036366413,1.091352854793564
9,0.46122448979591835,0.09284256275080797,1.1013859840598632
