Run,Kendall Tau,NDKL,Average Exposure
0,0.49387755102040815,0.09545739365151588,0.8567692428833904
1,0.3420408163265306,0.2081372020562623,0.7388099272084196
2,0.5510204081632653,0.1361138290869025,1.1030169309895166
3,0.5624489795918367,0.12174311343229385,0.8000142640610732
4,0.4742857142857143,0.09208264347157455,0.9045631023304416
5,0.923265306122449,0.3546439916068678,0.6336384966942574
6,0.516734693877551,0.12151943855740624,0.7946449110039953
7,0.916734693877551,0.1259107329992313,0.8013891367533721
8,0.7224489795918367,0.1338866696155794,0.8298859583911063
9,0.4546938775510204,0.0793247510130423,0.8460875955156124
