q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints,BTN,NMSOR,GAPI
1,101,male,Artis Gilmore*,14,17.69,15844,,,
1,116,male,Peja Stojakovic,18,17.33,15217,,,
1,339,male,Zelmo Beaty*,8,16.46,9107,,,
1,423,male,Brian Grant,12,14.08,7933,,,
1,461,male,Vladimir Radmanovic,18,11.46,7430,,,
1,489,male,Tom Henderson,11,12.86,7063,,,
1,498,male,Curtis Rowe,8,12.22,6873,,,
1,711,male,Glen Davis,10,12.24,4752,,,
1,770,male,Greivis Vasquez,9,11.82,4349,,,
1,867,male,James Jones,14,10.61,3717,,,
1,868,female,Kayla McBride,9,16.09,3707,,,
1,874,male,Mikki Moore,19,12.6,3681,,,
1,904,male,Brandan Wright,14,18.95,3522,,,
1,1146,male,Bruce Seals,3,11.37,2422,,,
1,1178,male,Gary Phillips,5,8.02,2319,,,
1,1372,male,Donnell Harvey,9,14.19,1659,,,
1,1428,female,Tianna Hawkins,9,13.57,1497,,,
1,1477,female,Tiffany Jackson-Jones,9,12.14,1389,,,
1,1530,female,Rushia Brown,7,15.6,1239,,,
1,1547,male,Donald Hodge,7,9.06,1200,,,
1,1568,male,Lancaster Gordon,4,8.82,1125,,,
1,1782,female,Debbie Black,6,13.02,758,,,
1,1943,female,Rhyne Howard,1,16.5,552,,,
1,1974,male,Reggie Bullock,6,7.05,516,,,
1,1995,female,Vanessa Nygaard,5,10.86,493,,,
1,2005,female,Clarisse Machanguana,4,12.75,485,,,
1,2045,female,Crystal Kelly,3,12.63,451,,,
1,2076,female,Lynn Pride,4,7.83,425,,,
1,2152,female,Jessica Shepard,3,12.83,365,,,
1,2175,male,Tom Hoover,3,8.37,350,,,
1,2185,male,Jackie Butler,3,38.23,343,,,
1,2234,female,Markeisha Gatling,3,11.97,308,,,
1,2295,female,Raffaella Masciadri,3,7.73,276,,,
1,2313,female,Alexis Jones,4,8.23,264,,,
1,2434,female,Danielle McCulley,2,14.0,203,,,
1,2515,female,Bernice Mosby,3,10.67,177,,,
1,2539,female,Kate Paye,3,5.63,168,,,
1,2553,female,Marie Gulich,3,7.77,165,,,
1,2597,female,Linda Frohlich,2,14.35,149,,,
1,2604,male,Plummer Lott,2,3.5,147,,,
1,2661,female,Amaya Valdemoro,3,15.73,127,,,
1,2730,male,Jack Foley,3,15.4,106,,,
1,2980,male,Bernard Toone,1,8.9,55,,,
1,3041,male,Jerome Harmon,1,10.1,46,,,
1,3092,male,Pete Brennan,1,7.2,40,,,
1,3172,female,Miao Lijie,1,5.0,31,,,
1,3354,female,Jaylyn Agnew,1,0.1,15,,,
1,3459,female,Lindsay Bowen,1,1.4,9,,,
1,3664,female,Elissa Cunane,1,9.6,2,,,
1,3709,female,Ambrosia Anderson,1,5.1,0,,,
