p={'female': 0.7, 'male': 0.3}, average_exposure=0.9871179326315014
p={'female': 0.7, 'male': 0.3}, average_exposure=0.9871179326315014
p={'female': 0.7, 'male': 0.3}, average_exposure=0.9871179326315014
