q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,413,male,Lonnie Shelton,10,13.37,8049
1,414,male,Luke Ridnour,14,12.69,8046
1,415,male,Blue Edwards,12,12.3,8044
1,416,male,Quentin Richardson,13,11.5,8032
1,417,male,Brad Davis,19,12.95,8027
1,418,male,Danilo Gallinari,10,16.18,8023
1,419,male,Nate Robinson,17,12.85,8013
1,420,male,Darrell Armstrong,16,17.14,7976
1,421,male,Lindsey Hunter,17,10.45,7956
1,422,male,Connie Dierking,14,11.59,7941
1,423,male,Brian Grant,12,14.08,7933
1,424,male,Reggie Lewis,6,16.7,7902
1,425,male,Bobby Jackson,14,15.12,7897
1,426,male,Beno Udrih,19,13.49,7895
1,427,male,Andrea Bargnani,10,14.19,7873
1,428,male,Raja Bell,16,10.67,7868
1,429,male,Ron Anderson,14,13.0,7859
1,430,male,Marcin Gortat,12,17.32,7845
1,431,male,Calbert Cheaney,13,9.85,7826
1,432,male,Channing Frye,13,13.38,7818
1,433,male,Ruben Patterson,12,16.19,7811
1,434,male,Kenny Sears,10,16.67,7808
1,435,male,Ralph Sampson*,11,12.7,7788
1,436,male,Harvey Grant,11,11.75,7781
1,437,male,Wayne Cooper,14,12.76,7777
1,438,male,Ron Mercer,12,11.27,7775
1,439,male,Rick Mahorn,18,10.42,7763
1,440,male,Michael Cooper,12,13.03,7729
1,441,male,Josh Howard,12,14.93,7716
1,442,male,Derek Anderson,13,13.9,7706
1,443,male,B.J. Armstrong,15,13.38,7686
1,444,male,Paul Pressey,11,14.17,7664
1,445,male,Jim Chones,8,13.34,7664
1,446,male,Neal Walk,10,15.59,7639
1,447,male,Morris Peterson,11,11.81,7628
1,448,male,Dee Brown,18,10.78,7602
1,449,male,Nicolas Batum,9,15.37,7600
1,450,male,Theo Ratliff,24,12.7,7579
1,451,male,O.J. Mayo,8,12.8,7574
1,452,male,Greg Monroe,7,20.24,7572
1,453,male,Jeff Teague,8,16.62,7545
1,454,male,Willie Anderson,11,12.44,7513
1,455,male,Anthony Davis,5,26.3,7497
1,456,male,Craig Ehlo,14,12.92,7492
1,457,male,Terry Mills,13,12.45,7490
1,458,female,Tina Thompson,17,18.47,7488
1,459,male,Andrew Toney,8,13.86,7458
1,460,male,Kenny Thomas,15,12.77,7451
1,461,male,Vladimir Radmanovic,18,11.46,7430
1,462,male,Stu Lantz,10,12.41,7430
1,463,male,Brian Shaw,18,10.1,7414
1,464,male,LaPhonso Ellis,11,13.83,7410
1,465,female,Tamika Catchings,15,25.92,7380
1,466,male,Kevin Grevey,10,12.26,7364
1,467,male,Ty Lawson,10,15.68,7350
1,468,male,Spencer Hawes,14,14.58,7322
1,469,male,Ryan Anderson,9,17.23,7316
1,470,male,Mark West,21,9.43,7316
1,471,male,Erick Dampier,16,13.04,7309
1,472,male,Rich Kelley,15,14.11,7303
1,473,male,Vinny Del,14,12.39,7292
1,474,male,Dwight Jones,14,12.46,7265
1,475,male,J.R. Reid,17,12.24,7256
1,476,male,Emeka Okafor,9,16.68,7256
1,477,male,Keith Erickson,12,11.85,7251
1,478,male,Johnny Egan,17,11.27,7249
1,479,male,Mel Counts,16,14.24,7242
1,480,male,Slater Martin*,11,11.19,7209
1,481,male,Jim Price,14,13.72,7203
1,482,male,Jrue Holiday,8,16.48,7191
1,483,male,Steve Blake,19,10.66,7154
1,484,male,Loy Vaught,13,13.59,7152
1,485,male,Darren Collison,8,15.86,7149
1,486,female,Tina Charles,12,21.02,7115
1,487,male,Rod Higgins,17,10.92,7109
1,488,male,Craig Hodges,14,12.04,7098
