doc_id,Name,Gender,predictions,GT_score,Gender.1
1,Oscar Robertson*,male,26710,26710,male
2,Nick Van,male,13980,13980,male
3,Bill Cartwright,male,12713,12713,male
4,Sidney Moncrief,male,11931,11931,male
5,Ron Brewer,male,9578,9578,male
6,Kyrie Irving,male,8232,8232,male
7,Seimone Augustus,female,6005,6005,female
8,Gordan Giricek,male,5757,5757,male
9,Charles Johnson,male,4764,4764,male
10,Kwame Brown,male,4219,4219,male
11,Brian Skinner,male,3300,3300,male
12,Al Butler,male,3109,3109,male
13,Norris Cole,male,3079,3079,male
14,Freddie Crawford,male,2858,2858,male
15,Predrag Drobnjak,male,2187,2187,male
16,Jake Tsakalidis,male,1581,1581,male
17,LaToya Thomas,female,1390,1390,female
18,Teaira McCowan,female,1304,1304,female
19,Erin Perperoglou,female,1232,1232,female
20,Jessica Davenport,female,1148,1148,female
21,Cole Aldrich,male,1138,1138,male
22,Nate Hawthorne,male,882,882,male
23,Janice Braxton,female,733,733,female
24,Jessie Hicks,female,705,705,female
25,Krystal Thomas,female,636,636,female
26,Pamela McGee,female,488,488,female
27,Nadine Malcolm,female,413,413,female
28,Teresa Edwards,female,375,375,female
29,Laura Harper,female,338,338,female
30,Craig Shelton,male,240,240,male
31,Megan Walker,female,229,229,female
32,Ewelina Kobryn,female,215,215,female
33,Ashley Shields,female,161,161,female
34,Vedrana Grgin-Fonseca,female,151,151,female
35,Kasha Terry,female,117,117,female
36,Milena Flores,female,112,112,female
37,Sandra Van Embricqs,female,94,94,female
38,Kathrin Ress,female,85,85,female
39,Mikiah Herbert Harrigan,female,79,79,female
40,D.J. Strawberry,male,73,73,male
41,David Pope,male,62,62,male
42,John Fairchild,male,60,60,male
43,Grady O'Malley,male,50,50,male
44,Candace Futrell,female,42,42,female
45,Stanley Brundy,male,37,37,male
46,Zeke Sinicola,male,13,13,male
47,Zuzana Zirkova,female,11,11,female
48,Rennia Davis,female,10,10,female
50,Chandra Johnson,female,6,6,female
49,Patrick Christopher,male,6,6,male
