doc_id,Name,Gender,predictions,GT_score,Gender
1,Paul Pierce,male,26397,26397,male
2,Mark Jackson,male,13932,13932,male
9,Nikki McCray,female,2550,2550,female
12,Latasha Byears,female,1935,1935,female
3,Bill Cartwright,male,12713,12713,male
14,Elaine Powell,female,1505,1505,female
15,Teresa Weatherspoon,female,1264,1264,female
4,Kyle Korver,male,11713,11713,male
18,Alicia Thompson,female,759,759,female
19,Janice Braxton,female,733,733,female
23,Suzie McConnell Serio,female,521,521,female
5,Terry Catledge,male,6520,6520,male
24,Shannon Bobbitt,female,377,377,female
25,Kate Starbird,female,373,373,female
6,Tracy Murray,male,6458,6458,male
27,Laura Harper,female,338,338,female
29,Rebekah Gardner,female,295,295,female
7,Greg Anthony,male,5971,5971,male
31,Kaila Charles,female,242,242,female
33,Yelena Leuchanka,female,207,207,female
34,Robin Threatt-Elliott,female,155,155,female
8,Travis Best,male,5957,5957,male
36,Adrienne Shuler,female,89,89,female
37,Mikiah Herbert Harrigan,female,79,79,female
10,Joe Hassett,male,2079,2079,male
39,Rachel Hollivay,female,48,48,female
40,Amanda Thompson,female,47,47,female
11,John Lambert,male,2049,2049,male
44,Adut Bulgak,female,36,36,female
45,Kamiah Smalls,female,31,31,female
46,Gennifer Brandon,female,28,28,female
13,Greg Minor,male,1902,1902,male
47,Erin Grant,female,25,25,female
48,Kimberly Beck,female,17,17,female
16,Jack Kerris,male,1137,1137,male
49,Shay Doron,female,10,10,female
50,Chandra Johnson,female,6,6,female
17,Ron Reed,male,951,951,male
20,Jay Williams,male,714,714,male
21,Andre Spencer,male,692,692,male
22,Phil Pressey,male,544,544,male
26,Mark Radford,male,347,347,male
28,Taurean Waller-Prince,male,335,335,male
30,Dalibor Bagaric,male,251,251,male
32,Paul Zipser,male,240,240,male
35,Marques Bragg,male,131,131,male
38,Alex Poythress,male,64,64,male
41,Justin Harper,male,45,45,male
42,James Augustine,male,42,42,male
43,Clifford Lett,male,38,38,male
