doc_id,Name,Gender,predictions,GT_score,Gender.1
1,Carmelo Anthony,male,26126,26126,male
2,Jeff Malone,male,18679,18679,male
3,Junior Bridgeman,male,11517,11517,male
4,John Lucas,male,11098,11098,male
5,Jon McGlocklin,male,9169,9169,male
6,Carl Landry,male,7787,7787,male
7,Jared Dudley,male,6492,6492,male
8,DeWanna Bonner,female,6184,6184,female
9,Shaun Livingston,male,5317,5317,male
10,Danny Green,male,4155,4155,male
11,Chasity Melvin,female,3814,3814,female
12,George Trapp,male,3353,3353,male
13,Merlakia Jones,female,2353,2353,female
14,Coco Miller,female,2032,2032,female
15,Brittney Sykes,female,2019,2019,female
16,Reggie Harding,male,1839,1839,male
17,Brian Scalabrine,male,1594,1594,male
18,Butch Lee,male,1546,1546,male
19,Erlana Larkins,female,1445,1445,female
20,Tayler Hill,female,1280,1280,female
21,Marina Mabrey,female,1203,1203,female
22,Ukari Figgs,female,980,980,female
23,Alex Montgomery,female,902,902,female
24,Yvonne Turner,female,529,529,female
25,Chantel Tremitiere,female,438,438,female
26,Dontonio Wingfield,male,423,423,male
27,Troy Williams,male,370,370,male
28,Lawrence Roberts,male,334,334,male
29,Gary Garland,male,334,334,male
30,Andrea Nagy,female,327,327,female
31,Tausha Mills,female,267,267,female
32,Evanthia Maltsi,female,147,147,female
33,Fred VanVleet,male,107,107,male
34,Naomi Mulitauaopele,female,99,99,female
35,Sandra Van Embricqs,female,94,94,female
36,Adrienne Shuler,female,89,89,female
37,Pauline Jordan,female,74,74,female
38,Scott Meents,male,72,72,male
39,A'dia Mathies,female,68,68,female
40,Rui Machida,female,65,65,female
41,Stacy Frese,female,62,62,female
42,Rachel Hollivay,female,48,48,female
43,Jamel Thomas,male,47,47,male
44,Stanley Brundy,male,37,37,male
45,Adut Bulgak,female,36,36,female
46,Jerry Baskerville,male,26,26,male
47,Eddie Owens,male,21,21,male
48,John Pinone,male,20,20,male
49,Stephanie Watts,female,15,15,female
50,Phil Martin,male,12,12,male
