doc_id,Name,Gender,predictions,GT_score,Gender
1,Paul Pierce,male,26397,26397,male
2,Eddie Jones,male,15428,15428,male
6,DeWanna Bonner,female,6184,6184,female
8,Sheryl Swoopes,female,4875,4875,female
3,Corey Maggette,male,13198,13198,male
13,Shavonte Zellous,female,3103,3103,female
15,Latasha Byears,female,1935,1935,female
4,Kyrie Irving,male,8232,8232,male
16,Bridget Pettis,female,1408,1408,female
17,LaToya Thomas,female,1390,1390,female
19,Nicky Anosike,female,1244,1244,female
5,Maurice Taylor,male,6361,6361,male
22,Nia Coffey,female,741,741,female
23,Jenna O'Hea,female,679,679,female
7,Robert Pack,male,5692,5692,male
24,Elena Tornikidou,female,657,657,female
25,Jessica Moore,female,633,633,female
9,Nenad Krstic,male,4785,4785,male
26,Kara Wolters,female,561,561,female
27,Kristin Haynie,female,555,555,female
28,Satou Sabally,female,549,549,female
10,Walter Berry,male,4492,4492,male
29,Niele Ivey,female,408,408,female
32,Tausha Mills,female,267,267,female
11,Charlie Ward,male,4371,4371,male
34,Maylana Martin,female,227,227,female
36,Ashley Shields,female,161,161,female
12,Al-Farouq Aminu,male,3766,3766,male
39,Angie Potthoff,female,127,127,female
42,Brooke Smith,female,102,102,female
44,Kathrin Ress,female,85,85,female
14,Bismack Biyombo,male,2176,2176,male
45,Mikiah Herbert Harrigan,female,79,79,female
47,Linnae Harper,female,48,48,female
18,Henry James,male,1359,1359,male
49,Carla Thomas,female,43,43,female
50,Gennifer Brandon,female,28,28,female
20,Von Wafer,male,1100,1100,male
21,Malcolm Brogdon,male,767,767,male
30,Taurean Waller-Prince,male,335,335,male
31,Melvin Booker,male,288,288,male
33,Delon Wright,male,253,253,male
35,Chris Herren,male,224,224,male
37,Daniel Orton,male,143,143,male
38,Clinton Smith,male,134,134,male
40,Jerry Greenspan,male,122,122,male
41,Fred VanVleet,male,107,107,male
43,Blake Ahearn,male,88,88,male
46,Bob Williams,male,70,70,male
48,Willie Williams,male,46,46,male
