doc_id,Name,Gender,predictions,GT_score,Gender
1,Carmelo Anthony,male,26126,26126,male
2,Purvis Short,male,14607,14607,male
11,Merlakia Jones,female,2353,2353,female
12,Shekinna Stricklen,female,2245,2245,female
3,Bingo Smith,male,11775,11775,male
16,Teresa Weatherspoon,female,1264,1264,female
20,Maria Stepanova,female,867,867,female
4,John Lucas,male,11098,11098,male
21,Alisa Burras,female,864,864,female
22,Deanna Jackson,female,830,830,female
24,Nia Coffey,female,741,741,female
5,Jon McGlocklin,male,9169,9169,male
25,Elena Tornikidou,female,657,657,female
26,Kara Wolters,female,561,561,female
6,Doug Collins,male,7427,7427,male
27,Shoni Schimmel,female,560,560,female
28,Sonja Henning,female,490,490,female
7,Taj Gibson,male,6333,6333,male
30,Amy Herrig,female,280,280,female
31,Tausha Mills,female,267,267,female
33,Carolyn Young,female,194,194,female
8,Rick Robey,male,4541,4541,male
34,Kristy Wallace,female,190,190,female
36,Robin Threatt-Elliott,female,155,155,female
9,C.J. McCollum,male,4128,4128,male
37,Evanthia Maltsi,female,147,147,female
38,Yolanda Moore,female,140,140,female
10,Michael Smith,male,3476,3476,male
41,Alexis Prince,female,50,50,female
43,Kelley Cain,female,34,34,female
44,Sharnee Zoll,female,27,27,female
13,Buddy Hield,male,1732,1732,male
45,Endy Miyem,female,27,27,female
46,Kimberly Beck,female,17,17,female
14,Henry James,male,1359,1359,male
48,Rennia Davis,female,10,10,female
49,Caity Matter,female,9,9,female
15,Don Henriksen,male,1297,1297,male
17,J.J. Anderson,male,1231,1231,male
18,Elmore Spencer,male,937,937,male
19,Juan Carlos,male,896,896,male
23,Delaney Rudd,male,816,816,male
29,Eddie Mast,male,283,283,male
32,Ted Luckenbill,male,196,196,male
35,Jay Murphy,male,160,160,male
39,Josh Selby,male,83,83,male
40,McCoy Ingram,male,67,67,male
42,James Augustine,male,42,42,male
47,Cliff Alexander,male,10,10,male
50,Myles Patrick,male,5,5,male
