doc_id,Name,Gender,predictions,GT_score,Gender.1
1,John Havlicek*,male,26395,26395,male
2,Billy Knight,male,12079,12079,male
3,Terry Tyler,male,8868,8868,male
4,Chris Morris,male,8184,8184,male
5,Nenad Krstic,male,4785,4785,male
6,Crystal Langhorne,female,4433,4433,female
7,Skylar Diggins-Smith,female,4217,4217,female
8,Michael Smith,male,3476,3476,male
9,Al Butler,male,3109,3109,male
10,Norris Cole,male,3079,3079,male
11,Fred Hoiberg,male,2944,2944,male
12,Zach LaVine,male,2817,2817,male
13,Jessica Breland,female,1918,1918,female
14,Reggie Harding,male,1839,1839,male
15,Jake Tsakalidis,male,1581,1581,male
16,Erlana Larkins,female,1445,1445,female
17,Courtney Paris,female,1404,1404,female
18,Teaira McCowan,female,1304,1304,female
19,Eva Nemcova,female,1304,1304,female
20,Don Henriksen,male,1297,1297,male
21,James Ennis,male,1059,1059,male
22,Alex Montgomery,female,902,902,female
23,Nate Hawthorne,male,882,882,male
24,Lindsay Allen,female,431,431,female
25,Katie Gearlds,female,385,385,female
26,Teresa Edwards,female,375,375,female
27,Gary Garland,male,334,334,male
28,Kaila Charles,female,242,242,female
29,Megan Walker,female,229,229,female
30,Jim Ware,male,143,143,male
31,Charli Collier,female,130,130,female
32,Bob Wiesenhahn,male,119,119,male
33,Milena Flores,female,112,112,female
34,Kim Smith,female,107,107,female
35,Jonathan Gibson,male,106,106,male
36,Brooke Smith,female,102,102,female
37,Shane Heal,male,97,97,male
38,Liz Moeggenberg,female,95,95,female
39,Karlie Samuelson,female,82,82,female
40,Katrina Hibbert,female,53,53,female
41,Chuckie Williams,male,37,37,male
42,Kysre Gondrezick,female,36,36,female
43,Kelley Cain,female,34,34,female
44,Dymond Simon,female,30,30,female
45,John Windsor,male,27,27,male
46,Wendi Willits,female,17,17,female
47,Erik Daniels,male,13,13,male
48,Alvin Sims,male,11,11,male
49,Chandra Johnson,female,6,6,female
50,Red Davis,male,2,2,male
