Position,NDCG_1,NDCG_2,NDCG_3,NDCG_4,NDCG_5,NDCG_6,NDCG_7,NDCG_8,NDCG_9
0.3179521743775287,0.3452057403700475,0.2873705571144316,0.3003158690387016,0.3508295495677249,0.2600702590733783,0.4170103611014302,0.3365064258999654,0.2558987983068564,0.37495524181933637
0.3104118482143617,0.334433251736056,0.2784995269205543,0.2912743018883991,0.3400057495014007,0.2521943873413311,0.4046468520779694,0.3275175754072744,0.2480254472605874,0.3640842578102406
0.3009901928928495,0.3244926574839608,0.2702562521690586,0.2829332176422209,0.3298410239656759,0.2448460401268717,0.3931472317214142,0.3175854566141169,0.2406868504234791,0.35388062381328095
0.2921363551746561,0.3152381717169811,0.262471041912085,0.2747012680737632,0.3270803312423359,0.2379450870342179,0.382169630966951,0.3083844765315256,0.233881172055304,0.3443647343918279
0.2838786604141902,0.3066329813622001,0.2551698269350166,0.2670173182464094,0.3180643017415192,0.231545547733739,0.3719690605894961,0.2996923953931226,0.2275518806669414,0.33528962673555673
0.2770685114445756,0.2986012536611532,0.2483367514140243,0.2598577207833896,0.309647743809379,0.2255157758804671,0.362478816873629,0.2916013046836899,0.2216362400092159,0.3267619087368971
0.2697675030042631,0.2910311725914903,0.2419219174622394,0.2531335860445434,0.3017221174648754,0.2196728326258806,0.353541396711669,0.284837274190052,0.2160434766799395,0.3184147742490916
0.2629290992398588,0.2839399846095041,0.235821926488259,0.2467489204903462,0.2943021671975441,0.2142011115328348,0.3451407012935077,0.2777143867467636,0.2107728612179957,0.31051108582090997
0.2573573031329214,0.2772797618296352,0.2300872106866983,0.2407450286439633,0.2873232597422092,0.2090538123359974,0.3372325089747248,0.2710272872920822,0.2058055972640929,0.3030796546706818
0.2512357827365922,0.2708844410652994,0.2246798450341662,0.2350059479178629,0.2829910617113673,0.2041437888518574,0.3297020371908704,0.2646999006107478,0.2011152277327128,0.2960395773738586
0.2454598827401946,0.264789817335219,0.2195342137997696,0.2295790806537563,0.2767045460078695,0.1995109941938697,0.3223207105247901,0.2593187811659501,0.1965770259615734,0.2893697480795784
0.2399751330946402,0.2589731565427066,0.2146642691061649,0.2244476418646822,0.270727262628417,0.19510795529075,0.3153427600082653,0.2536238052466132,0.192282512820145,0.28306830775017255
0.235392263740128,0.2534336986488205,0.2100263398824852,0.2195860608083359,0.2650438342076546,0.1909358322926561,0.3087257590550851,0.2482037359853681,0.188198781860251,0.27709747417142855
0.2304508774136397,0.2481781605721696,0.2056241583240193,0.2149717414834752,0.2596288274883133,0.186972835178767,0.3024394739782884,0.2430217507890444,0.1842533618398167,0.27138620390844254
0.2257474872316071,0.2431363378678923,0.2014285119360236,0.2105869900488142,0.2553408273389136,0.1832027943618994,0.2964578627503215,0.2382502045837748,0.1804706456582423,0.2658657307146864
0.2212726303500608,0.2383257398562128,0.1974299379564169,0.2064053660659116,0.250361718328309,0.1795596317936412,0.2907355857234807,0.2335135452419185,0.1768701855647517,0.2605826320730383
0.2170043789784942,0.2337301989397419,0.1936155986349909,0.2023994877858367,0.2455949647987654,0.1760755885646524,0.2852773224346626,0.2289929188486412,0.1734343306655247,0.2555427668683357
0.2132405660532642,0.2293417233169651,0.1899718421044353,0.1985656987207079,0.2416057341514156,0.1727395908816545,0.2800107578262972,0.2246687016717634,0.1701479621180235,0.25073030151404185
0.2093196729261664,0.2251348359420093,0.1864829037768481,0.1949021470573834,0.2371927242038251,0.1695473620871411,0.2749473464984152,0.2206688789946385,0.1670074152821865,0.24612885873479762
0.2055523158288882,0.2211009175757692,0.1831372516417441,0.1913962221254678,0.2329651934855051,0.1664936762142602,0.2700940831979574,0.2167034177578921,0.1640003966460352,0.241716721707808
0.2020280357336621,0.2172355253901894,0.1799277485759441,0.1880358352297856,0.2294903399760689,0.1635623266302182,0.2654265878155235,0.2129049282985143,0.1611123899487895,0.23748975660332186
0.1985632263914462,0.2135254995407088,0.1768317911591483,0.1848054374509449,0.2255876130535183,0.1607471559132978,0.2609442492169164,0.209261663243991,0.1583414148582769,0.2334343391822357
0.1952370430140482,0.2099448158587568,0.1738590173224981,0.1816978735925938,0.2218411342003209,0.1580444985187019,0.2566350649788324,0.2058891900244852,0.1579695566843099,0.2295399985279608
0.192040094855712,0.2065033639155477,0.1710022569137477,0.1787097347325489,0.2182251603848987,0.1554453546855772,0.2524893310493838,0.2025219039514718,0.1556839123835424,0.22579655320823155
0.1889656392165957,0.2031919433476486,0.1682525459529885,0.1787501366038725,0.2150246252710061,0.1619347230327477,0.248497567308472,0.1992805904849485,0.1533467243347822,0.2221879190478855
0.1860604959882089,0.1999955582151312,0.1738376299989097,0.1776917453079643,0.2116695400455297,0.16606789373097,0.2446415477322673,0.1961588478433646,0.1510187566950056,0.2187137944975851
0.1832416600549632,0.1996938600954727,0.178487722896202,0.1755724225219746,0.2084349890933627,0.1689126978146974,0.2409261022600955,0.1932114760788854,0.1487400536581654,0.21536095139069092
0.1805185717747569,0.1992354261359009,0.1812011664193138,0.1730056932503292,0.2053123507739293,0.1706500829020585,0.2373419928609191,0.190309088880572,0.1465394879065391,0.212127596523248
0.1778824389347467,0.1964379194827758,0.1817057851037082,0.1705154894514334,0.2022925756471442,0.170694448494323,0.2338751007329138,0.1875039461836365,0.1444120887100214,0.20900190699938093
0.1753212525509408,0.1937171996108802,0.1802573909289371,0.1681036130560486,0.199366761490132,0.168328800281176,0.2305024914480301,0.184791230326694,0.1423521550186482,0.2059807130791084
0.1728331253402286,0.1910238735284782,0.1777268040318488,0.1657303235838199,0.1965387831452926,0.1659812616840779,0.2272330415725973,0.1821869286408754,0.1403397329889741,0.20306054474845253
0.1704259111928792,0.1884050266176904,0.1752675995129839,0.1634278418872204,0.1938024311360285,0.1636892088253378,0.2240697307849949,0.1796663231675731,0.1383861521315967,0.20023392414443833
0.1680975073583656,0.1858516011603122,0.1728719709762282,0.1611987048723928,0.1911534610137002,0.1614544547852373,0.2210070549522497,0.1772105710943423,0.1364946341553166,0.19749704577079777
