Run,Kendall Tau,NDKL,Average Exposure
0,0.6375510204081632,0.11411404269801287,0.9854677053596953
1,0.43673469387755104,0.09755019715314421,1.0792084519972207
2,0.6457142857142857,0.07669676159388045,1.0131056672489331
3,0.8546938775510204,0.10539386977993545,0.8411949912860068
4,0.41061224489795917,0.1805518179163131,1.2305249993782221
5,0.6277551020408163,0.06699155339981093,0.9535967814428843
6,0.6538775510204081,0.062166516862479336,0.9926317754346595
7,0.8236734693877551,0.1394279302171053,0.8169032694936087
8,0.8351020408163266,0.06187522481950786,0.9429532237768243
9,0.52,0.07688064900145233,0.9365447547418375
