,doc_id,Name,Gender,predictions,GT_score,Gender.1
0,122,Steve Smith,male,15049,15049,male
1,182,Derrick Coleman,male,12884,12884,male
2,215,Calvin Natt,male,11995,11995,male
3,251,Charlie Scott,male,11101,11101,male
4,304,Greg Ballard,male,9953,9953,male
5,314,Anthony Mason,male,9656,9656,male
6,335,Rickey Green,male,9161,9161,male
7,355,Wesley Person,male,8794,8794,male
8,647,Kyle Macy,male,5259,5259,male
9,682,Maya Moore,female,4984,4984,female
10,912,Jack Nichols,male,3483,3483,male
11,947,Darnell Hillman,male,3318,3318,male
12,1039,Iziane Castro Marques,female,2862,2862,female
13,1075,Adrienne Goodson,female,2705,2705,female
14,1099,Leilani Mitchell,female,2618,2618,female
15,1162,Cherokee Parks,male,2355,2355,male
16,1477,Tiffany Jackson-Jones,female,1389,1389,female
17,1499,Tamika Williams,female,1330,1330,female
18,1527,Bob Portman,male,1254,1254,male
19,1568,Lancaster Gordon,male,1125,1125,male
20,1700,Victoria Vivians,female,884,884,female
21,1742,Kayla Alexander,female,818,818,female
22,1822,Nate Bowman,male,702,702,male
23,1830,Jeff Ayres,male,690,690,male
24,1910,Mery Andrade,female,588,588,female
25,1924,Sydney Colson,female,570,570,female
26,1929,Tynesha Lewis,female,568,568,female
27,2021,Michael Phelps,male,470,470,male
28,2032,Tyasha Harris,female,458,458,female
29,2055,Sylvester Gray,male,440,440,male
30,2070,Daniel Ewing,male,431,431,male
31,2071,Wah Wah,male,430,430,male
32,2125,Claudia Neves,female,387,387,female
33,2179,Charles Bradley,male,347,347,male
34,2231,Vicki Baugh,female,309,309,female
35,2322,Vicki Hall,female,258,258,female
36,2334,Tonya Massaline,female,253,253,female
37,2369,Angel Goodrich,female,235,235,female
38,2401,Clarissa Dos Santos,female,220,220,female
39,2534,Sonja Tate,female,170,170,female
40,2656,Awak Kuier,female,129,129,female
41,2659,Ally Malott,female,128,128,female
42,2667,Jake Ford,male,126,126,male
43,2684,Trisha Stafford-Odom,female,121,121,female
44,2721,Damone Brown,male,108,108,male
45,2801,Herb White,male,90,90,male
46,2860,Charisse Sampson,female,78,78,female
47,3050,Jackie Dinkins,male,45,45,male
48,3515,Abi Olajuwon,female,6,6,female
49,3719,Cedric Hunter,female,0,0,female
