doc_id,Name,Gender,predictions,GT_score,Gender
134,mary watson,female,2.46,2.46,female
164,john cooper,female,2.4,2.4,female
682,kip stubbs,male,1.72,1.72,male
852,kareem williams,male,1.59,1.59,male
264,ella burburan,female,2.21,2.21,female
837,ralph woodward,male,1.59,1.59,male
1655,alexander johnson,male,1.08,1.08,male
375,yvette paret,female,2.04,2.04,female
1666,pablo cabrera,male,1.07,1.07,male
1680,michael probber,male,1.07,1.07,male
1736,hubert hughes,male,1.03,1.03,male
387,marlene scollon,female,2.03,2.03,female
2053,eduardo cisneros,male,0.88,0.88,male
2078,william shaw,male,0.87,0.87,male
466,carol debriae,female,1.93,1.93,female
2675,richard chacon,male,0.6,0.6,male
2906,mario raudales,male,0.51,0.51,male
535,judith guadagino,female,1.87,1.87,female
2966,eric stephenson,male,0.48,0.48,male
3044,jerry grant,male,0.44,0.44,male
3052,audray george,male,0.44,0.44,male
626,maria garcia,female,1.77,1.77,female
3066,mauro funez,male,0.43,0.43,male
3218,richard mckenzie,male,0.36,0.36,male
640,areej dorriety,female,1.75,1.75,female
3514,leroy battie,male,0.22,0.22,male
3799,thaddaus holmes,male,0.07,0.07,male
766,kristi chudicek,female,1.64,1.64,female
3831,bruce sinert,male,0.05,0.05,male
3925,jameal adderley,male,0.0,0.0,male
3956,isnor richardson,male,-0.02,-0.02,male
874,emily diana,female,1.57,1.57,female
4298,jontavis walker,male,-0.25,-0.25,male
4432,lawrence andrews,male,-0.35,-0.35,male
1078,tatiana quiruz,female,1.42,1.42,female
4611,devonah daniels,male,-0.53,-0.53,male
4815,antron franklin,male,-0.81,-0.81,male
1393,melissa becker,female,1.22,1.22,female
1558,krystal patterson,female,1.13,1.13,female
1646,amari joseph,female,1.08,1.08,female
1926,jessalyn balentine,female,0.95,0.95,female
2008,nicole magnus,female,0.9,0.9,female
2038,lanique lee,female,0.89,0.89,female
2143,annette jackson,female,0.84,0.84,female
2394,miesha mills,female,0.73,0.73,female
2909,miazotiann white,female,0.51,0.51,female
3488,kasha matthews,female,0.23,0.23,female
4041,shakera collins,female,-0.07,-0.07,female
4303,lateria green,female,-0.25,-0.25,female
4789,hattrina pierrepaul,female,-0.75,-0.75,female
