q_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,male,Dick Barnett,14,13.99,15358
1,male,Shawn Kemp,14,18.35,15347
1,male,Gerald Henderson,29,11.93,15331
1,male,Dave DeBusschere*,14,15.26,15294
1,male,John Drew,11,20.25,15291
1,male,Peja Stojakovic,18,17.33,15217
1,male,Russell Westbrook,9,23.93,15156
1,male,Paul Arizin*,9,19.6,15145
1,male,LaMarcus Aldridge,11,20.28,15136
1,male,Byron Scott,14,15.38,15097
1,male,Dick Van,12,14.08,15079
1,male,Steve Smith,18,15.25,15049
1,male,Glenn Robinson,16,15.04,14970
1,male,Truck Robinson,15,14.75,14906
1,male,Nate Thurmond*,16,15.58,14783
1,male,Metta World,21,14.62,14769
1,male,Ron Harper,17,15.94,14708
1,male,Dan Issel*,9,20.84,14659
1,male,Jamaal Wilkes*,12,15.64,14644
1,male,Bob Love,16,13.47,14615
1,male,Allan Houston,12,14.45,14551
1,male,Bill Russell*,13,19.01,14522
1,male,Hersey Hawkins,13,15.89,14470
1,male,Josh Smith,16,15.9,14353
1,male,Orlando Woolridge,15,15.89,14321
1,male,Wayman Tisdale,14,15.65,14259
1,male,Jack Marin,15,14.43,14251
1,male,Caron Butler,18,14.07,14223
1,male,Jermaine O'Neal,20,16.13,14214
1,male,Luol Deng,15,15.2,14213
1,male,Bob Boozer,13,15.58,14172
1,male,Happy Hairston,15,16.85,14124
1,male,Gus Williams,11,17.65,14093
1,male,Al Jefferson,13,20.05,14091
1,male,Joe Smith,26,13.02,14076
1,male,Sleepy Floyd,17,14.31,14027
1,male,Fred Brown,13,17.02,14018
1,male,Carlos Boozer,13,19.25,13976
1,male,Johnny Green,18,16.82,13958
1,male,Alvan Adams,13,18.02,13910
1,male,Marques Johnson,11,18.49,13892
1,male,Chuck Person,13,12.62,13858
1,male,Mickey Johnson,15,16.2,13845
1,male,Danny Manning,17,16.11,13770
1,male,Mychal Thompson,14,14.95,13748
1,male,Billy Cunningham*,9,18.97,13626
1,male,James Harden,8,22.16,13618
1,male,Johnny Newman,18,12.78,13572
1,male,David West,14,17.81,13539
1,male,Dave Cowens*,11,16.67,13516
1,male,Manu Ginobili,15,20.29,13467
1,male,Cliff Hagan*,10,18.83,13447
1,male,Hot Rod,19,13.67,13409
1,male,Vlade Divac,16,17.21,13398
1,male,Rudy Tomjanovich,11,16.35,13383
1,male,Larry Hughes,21,13.21,13346
1,male,Damon Stoudamire,17,14.12,13305
1,male,Maurice Lucas,14,15.7,13262
1,male,Mike Gminski,20,14.54,13248
1,male,Danny Ainge,16,14.73,13245
1,male,Kenny Anderson,22,14.83,13160
1,male,Kevin Loughery,15,10.24,13118
1,male,Cuttino Mobley,13,14.15,13098
1,male,Jimmy Walker,11,13.85,13092
1,male,Stephen Curry,8,23.3,13088
1,male,Christian Laettner,17,16.68,13066
1,male,Jeff Mullins,12,15.44,13017
1,male,Horace Grant,17,15.49,12996
1,male,Maurice Cheeks,17,16.06,12984
1,male,Willie Naulls,14,15.28,12929
1,male,A.C. Green,18,13.87,12928
1,male,Derrick Coleman,15,15.88,12884
1,male,Rik Smits,12,17.84,12871
1,male,Herb Williams,22,11.5,12859
1,male,Dick Snyder,15,13.3,12836
1,male,Paul Westphal,12,17.91,12809
1,male,Sidney Wicks,10,15.32,12803
1,male,Thurl Bailey,14,13.95,12785
1,male,Lamar Odom,14,15.84,12781
1,male,John Johnson,16,12.76,12769
1,male,Scott Wedman,15,13.0,12759
1,male,Andre Iguodala,13,15.71,12683
1,male,Jim Paxson,15,13.75,12651
1,male,Jeff Green,15,13.09,12633
1,male,Ricky Davis,16,14.48,12568
1,male,Otis Birdsong,12,14.67,12544
1,male,Mo Williams,17,14.54,12535
1,male,Don Ohl,12,12.98,12532
1,male,Mike Newlin,11,15.06,12507
1,male,John Long,16,12.79,12503
1,male,Jamal Mashburn,13,14.94,12466
1,male,Vin Baker,17,11.42,12405
1,male,Darrell Griffith,10,14.02,12391
1,male,Vinnie Johnson,15,14.57,12369
1,male,Mike Woodson,15,12.46,12349
1,male,Bill Sharman*,10,18.15,12287
1,male,DeMarcus Cousins,9,22.99,12250
1,male,J.R. Smith,15,14.16,12242
1,male,Tom Heinsohn*,9,17.73,12194
1,male,Willis Reed*,10,17.74,12183
1,male,Gilbert Arenas,13,16.91,12157
1,male,Vernon Maxwell,19,11.46,12118
1,male,Cliff Robinson,13,16.8,12081
1,male,Norm Nixon,10,14.99,12065
1,male,Calvin Natt,15,15.93,11995
1,male,Tyrone Corbin,24,11.77,11988
1,male,Mike Miller,19,13.2,11984
1,male,Michael Redd,12,16.54,11972
1,male,Mookie Blaylock,13,15.99,11962
1,male,Clyde Lovellette*,11,20.72,11947
1,male,Hedo Turkoglu,17,13.05,11899
1,male,Elden Campbell,21,13.96,11884
1,male,Gerald Wallace,18,15.14,11846
1,male,Jerome Kersey,17,14.21,11825
1,male,Paul Silas,16,13.39,11782
1,male,Gerald Wilkins,13,10.18,11736
1,male,Drew Gooden,23,15.66,11722
1,male,David Lee,14,18.99,11659
1,male,Tim Thomas,22,13.53,11627
1,male,Devin Harris,17,16.21,11599
1,male,Brad Miller,18,17.51,11587
1,male,Nick Anderson,13,14.34,11529
1,male,Alvin Robertson,12,16.17,11500
1,male,Clarence Weatherspoon,17,14.84,11480
1,male,DeMar DeRozan,8,16.98,11456
1,male,Larry Johnson,11,15.21,11456
1,male,Lou Williams,14,17.31,11446
1,male,Wally Szczerbiak,14,15.56,11422
1,male,John Salmons,19,11.63,11386
1,male,Anfernee Hardaway,16,14.63,11383
1,male,Toni Kukoc,17,17.09,11361
1,male,Ray Scott,11,15.48,11356
1,male,Raymond Felton,14,13.98,11310
1,male,Cedric Maxwell,13,15.88,11274
1,male,Tom Gugliotta,20,13.69,11271
1,male,Benoit Benjamin,21,12.92,11268
1,male,David Thompson*,8,19.38,11264
1,male,Derek Fisher,22,10.77,11238
1,male,Leroy Ellis,16,12.33,11147
1,male,Thaddeus Young,12,16.51,11136
1,male,Charlie Scott,11,14.05,11101
1,male,Ben Gordon,11,13.69,11084
1,male,Keith Van,13,16.71,11064
1,male,Mark Price,12,18.51,10989
1,male,Zydrunas Ilgauskas,13,17.77,10976
1,male,Nene Hilario,17,13.03,10953
1,male,Mike Bantom,15,13.87,10928
1,male,Dan Majerle,14,13.25,10925
1,male,Don Nelson*,14,15.71,10898
1,male,Robert Reid,15,11.25,10862
1,male,Rodney Rogers,16,13.89,10829
1,male,Guy Rodgers*,14,12.84,10818
1,male,Phil Smith,11,14.85,10772
1,male,Kyle Lowry,13,17.61,10746
1,male,Rony Seikaly,13,13.61,10737
1,male,Austin Carr,12,12.49,10681
1,male,Lucius Allen,12,15.02,10667
1,male,Kenny Smith,15,13.86,10640
1,male,Wes Unseld*,13,15.75,10624
1,male,Kevin Love,9,21.38,10593
1,male,Boris Diaw,18,12.52,10576
1,male,Sean Elliott,12,13.13,10544
1,male,Brian Winters,9,14.96,10537
1,male,Ray Williams,13,15.05,10513
1,male,Terrell Brandon,13,19.22,10495
1,male,Reggie Williams,24,12.2,10493
1,male,Kirk Hinrich,17,11.38,10468
1,male,Sam Lacey,15,13.21,10464
1,male,Brook Lopez,9,21.57,10444
1,male,Fat Lever,11,16.95,10433
1,male,Goran Dragic,13,16.28,10429
1,male,Sedale Threatt,18,14.09,10399
1,male,Brad Daugherty,8,18.7,10389
1,male,Gene Shue,12,12.27,10327
1,male,Flynn Robinson,13,16.91,10283
1,male,George Yardley*,9,20.37,10272
1,male,Derrick McKey,15,12.97,10266
1,male,Phil Chenier,12,12.54,10257
1,male,Cedric Ceballos,17,17.55,10219
1,male,Jameer Nelson,16,13.99,10216
1,male,Chris Gatling,19,17.09,10200
1,male,Danny Granger,12,14.14,10193
1,male,George McGinnis,9,17.16,10162
1,male,Johnny Davis,12,14.23,10127
1,male,Vern Fleming,12,14.73,10125
1,male,Antoine Carr,18,13.53,10125
1,male,Blake Griffin,7,22.74,10117
1,male,Marcus Camby,21,17.21,10105
1,male,Avery Johnson,22,13.61,10058
