Run,Kendall Tau,NDKL,Average Exposure
0,0.6604081632653062,0.11145495931774387,0.9817924107528442
1,0.6016326530612245,0.08754579635208842,1.0860743327298779
2,0.5379591836734694,0.07683487839334432,1.0339912360492383
3,0.7240816326530612,0.10245026710160589,0.9561441353779587
4,0.8481632653061224,0.08872907294676004,1.0581252095714946
5,0.76,0.060452026618329796,0.9296201854837418
6,0.4661224489795918,0.15521452053459947,1.2048631874188633
7,0.8775510204081632,0.05743787850463622,0.9158904438254878
8,0.8791836734693877,0.057934201202877435,0.9387814511054058
9,0.6946938775510204,0.05729068386999992,0.9185972622876989
